追い廻す	で	家内総がかりで
加える	て を	追い廻して 迫害を
磨く	この間も 畳で 爪を	も で を
怒る	が に	細君が 非常に
入れる	て から に へ	怒って それから 容易に 座敷へ
言う	と	ないと
産まれる	は を	白君は 子猫を
持つ	に を へ	三日目に そいつを 池へ
棄てる	て ながら	行って 四疋ながら
来たす	が て て	書生が 持って 棄てて
流す	を	涙を
話す	て を	流して 一部始終を
する	が を を	我等猫族が 愛を 家族的生活を
戦う	と	人間と
いう	は と	白君は 剿滅せねばならぬと
思う	と	議論と
解す	は を	三毛君などは 事を
いう	と	解していないと
見付ける	も に	臍でも 先に
食う	が を	ものが これを
ある	が	権利が
なる	は と	同族間では ものと
守る	が を	相手が 規約を
訴える	に	腕力に
見える	と	ないと
見付ける	て が	見えて 我等が
頼む	を	強力を
食う	で に が	頼んで 正当に 吾人が
奪う	ものを	を
すます	は て	彼等は 奪って
おりる	に	家に
持つ	は は を	白君は 三毛君は 主人を
住む	に	家に
送る	が か	日が こうにか
栄える	いつまでも	も
待つ	を を	気を 時節を
思い出す	　我儘で	で
する	を	話を
勝れる	て に	何といって 人に
出来る	て	勝れて
出す	が でも を	ないが、 何にでも 手を
やる	を	俳句を
する	て へ を	やって ほととぎすへ 投書を
出す	したり、 新体詩を 明星へ	たり を へ
かく	たり を	出したり、 英文を
凝る	に	弓に
習う	たり を	凝ったり、 謡を
ある	たり	習ったり、また
鳴らす	かいたり、 よると ときは ヴァイオリンなどを	たり と は を
なる	に	物に
おる	が は も も て	鳴らしたりするが、 事には、 どれも これも なって
うたう	で を	中で 謡を
つける	で を	近所で 渾名を
繰返す	これは 宗盛にて 候を	は にて を
吹き出す	が と	みんなが そら宗盛だと
なる	が に	主人が 考に
住み込む	の	吾輩の
ある	から の	住み込んでから 一月ばかり後の
提げる	を	包みを
帰る	か に て	ものか 月給日に、 提げて
買う	を	何を
思う	と	買って来たのかと
やめる	で から を	紙で 今日から 俳句を
見える	と て を と	思うと やめて 絵を 決心と
する	で も	毎日書斎で 昼寝も
かく	は で ばかり	ものは しないで 絵ばかり
見る	ものを	を
かく	を	何を
つく	と やら も が	見ると ものやら 誰にも 鑑定が
思う	と	甘くないと
やる	で を	友人で 美学とかを
来る	が	人が
する	に を	時に 話を
聞く	か を	ものか、 しているのを
見る	を	人のを
とる	を	筆を
見る	て	とって
感ずる	が と に	ないようだが 見ると 今更のように
見る	に を	眼鏡越に 顔を
かける	から は	初めから 上手には
かける	ばかり が	想像ばかりで 画が
言う	が	大家アンドレア・デル・サルトが
ある	が	事が
かく	を	画を
写す	でも を	何でも 物を
あり	に	天に
あり	に	地に
あり	に	飛ぶに
あり	に	走るに
あり	に	池に
あり	に	枯木に
かこう	も を	君も 画を
思う	かこうと	と
する	を	写生を
いう	「へえアンドレア・デル・サルトが 事を	が を
ある	が	事が
見える	は が	裏には 笑が
出る	の に	例のごとく 椽側に
する	て を	出て 昼寝を
出る	が から	主人が 書斎から
やる	は て て で か	吾輩は していたら、 出て来て 後ろで 何か
覚める	が	眼が
する	て を	覚めて 何を
あける	に を	細目に 眼を
見る	しているかと 一分ばかり あけて	と ばかり て
極め込む	と は を	見ると、 彼は アンドレア・デル・サルトを
見る	を	有様を
禁じる	は を	吾輩は 失笑するのを
寝る	は	吾輩は
する	が	欠伸が
執る	が に を	主人が 熱心に 筆を
動く	を	執っているのを
思う	と	気の毒だと
おる	て て	思って、 辛棒して
かく	を	輪廓を
彩る	は て を	彼は かき上げて あたりを
いう	と	毛並と
いう	と	造作と
勝る	に	猫に
おる	は て	勝るとは 思って
描き出す	に	主人に
思う	でも は	吾輩でも、 姿とは、
違う	が	第一色が
含める	の を	猫のごとく 黄を
有す	は に を	吾輩は 灰色に 皮膚を
見る	が	誰が
思う	これだけは 見ても 事実と	は も と
見る	を	彩色を
さる	も	褐色でもない、
交ぜる	さればとて これらを	て を
いう	と	色であると
見える	さえ	所さえ
寝る	から か	見えないから 盲猫だか
思う	は と	吾輩は しようがないと
思う	と	におってやりたいと
出来る	も が	一分も 猶予が
なる	と	仕儀と
する	て を へ の	失敬して 両足を 前へ 存分の
押し出す	を	首を
する	から て て を	なったから、 して、 押し出して 欠伸を
見る	こうなって	て
行く	ついでに 裏へ	に へ
足す	て を	行って 用を
思う	と	足そうと
這い出す	から て	壊わしたのだから、 思って
掻く	を	怒りを
する	を	声を
怒鳴る	は て から と	主人は して、 中から 馬鹿野郎」と
罵る	を	人を
知る	に を	ほかに 言いようを
知る	も	気も
思う	が と	ないが、 失敬だと
乗る	が へ	吾輩が 背中へ
する	に でも	時に 顔でも
甘んじる	も	漫罵も
受ける	それも 甘んじて	も て
立つ	に	小便に
出る	が	ものが
窘める	て	出て来て
分る	は か	窘めてやらなくては 増長するか
する	を に	報道を 耳に
ある	が は について も が	我慢するが 吾輩は 不徳について これよりも 事が
ある	に が	裏に 茶園が
する	と	瀟洒と
当る	の	日の
騒ぐ	が	小供が
出来る	で の	騒いで 昼寝の
出る	いつでも ここへ	でも へ
養う	て を	出て 気を
運ぶ	が は と を	二時頃であったが、 吾輩は 茶園へと 歩を
嗅ぐ	を	木の根を
くる	ながら まで	嗅ぎながら、 そばまで
押し倒す	を	枯菊を
寝る	くると、 押し倒して その上に 猫が 不覚に	と て に が に
近づく	の	吾輩の
心付く	も	近づくのも
する	を	鼾を
眠る	は て と を	彼は して 長々と 体を
睡る	に が まで に	庭内に ものが かくまで 平気に
驚く	と は に に	ものかと、 吾輩は 窃かに 度胸に
過ぎる	に を	わずかに 午を
かける	を に	光線を 上に
する	かけて、	て
見える	より に	間より 眼に
思う	は も に	太陽は、 炎でも 燃え出ずるように
云う	も	大王とも
有す	は を	彼は 体格を
ある	は	倍は
忘れる	に を	心に 前後を
眺める	て	佇立して
出る	から	上から
誘う	を	枝を
落ちる	は と が て が に	吾輩は 眺めていると、 風が、 誘って 葉が 茂みに
開く	は を	大王は 眼を
輝く	は も	眼は ものよりも
する	は も	彼は 身動きも
射る	から	奥から
あつめる	を に	光を 上に
云う	あつめて、 御めえは 何だと	て は と
する	に	大王に
思う	と	卑しいと
籠る	が	ぐべき力が
抱く	が ので は を	思ったが 籠っているので 吾輩は 恐れを
する	を	挨拶を
思う	と	険呑だと
装う	と を	ない」と 平気を
答える	て と	装って 冷然と
おる	は て	心臓は 鼓動して
聞く	が	猫が
住む	どこに	に
いる	「吾輩は 家に	は に
思う	と	事だろうと
瘠せる	いやに	に
吹きかける	と に を	瘠せてるじゃねえか」と 大王だけに 気焔を
思う	と も	察すると 猫とも
見る	ところを	を
食う	と を	見ると 御馳走を
暮す	に	豊かに
聞く	は と	吾輩は 誰だい」と
知る	で	近辺で
なる	に	的に
聞く	を	名を
起す	は て を	吾輩は 聞いて 感じを
生じる	と は も	起すと同時に、 一方では 念も
試す	を	無学であるかを
思う	と	試してみようと
する	を	問答を
見る	は て て	吾輩は 思って して
いる	に って	強いに 極って
見る	を	主人を
いる	に	車屋に
食える	いると 御馳走が	と が
見える	と	食えると
行く	へ	国へ
する	「何に 行ったって 食い物に 不自由は	に たって に は
廻る	も ばかり	御めえなんかも 茶畠ばかり
くる	へ	後へ
見る	て て	廻っていねえで、 くっ付いて来て
たつ	と と	一と 月と
見違える	うちに	に
太れる	に	見違えるように
する	に	事に
住む	に	大きいのに
思う	は に	家は 住んでいるように
たつ	うちなんか	なんか
足す	の	腹の
なる	たって 足しに	て に
障る	に に	大に 肝癪に
そぐ	を	寒竹を
する	を	耳を
立ち去る	は で て に	彼は 様子で、 ぴく付かせて あららかに
なる	が と に	吾輩が 黒と 知己に
吐く	に は を	毎に 彼は 気焔を
する	に が に	先に 吾輩が 耳に
聞く	も から	不徳事件も 黒から
寝転ぶ	で	中で
する	は ながら を	黒は 寝転びながら 雑談を
繰り返す	を に	自慢話しを 新しそうに
向う	に	吾輩に
とる	に を	今までに 鼠を
ある	「御めえは 事が	は が
至る	に	勇気とに
なる	が は は	発達しているつもりだが 至っては 比較には
する	と は	ならないと 覚悟は
接す	に	問に
行く	は は	事実は 訳には
思う	と	とろうと
捕る	て	思って
答える	から は と	行かないから、 吾輩は 捕らない」と
張る	から	先から
震わせる	を と	髭を びりびりと
笑う	は て に	黒は 震わせて 非常に
する	を	自慢を
足りる	に か	丈に どこか
ある	は が	黒は ところが
鳴らす	を	咽喉を
御する	ば	謹聴していれば
なる	に	近付に
飲み込む	から を	なってから 呼吸を
しゃべる	に を	事彼に 手柄話を
濁す	しゃべらして 御茶を	て を
定める	は と を	吾輩は 若くはないと 思案を
とる	「君などは 年であるから	は から
見る	と て	とったろう」と そそのかして
とる	「たんとでもねえが 三四十は	が は
つづける	を	語を
引き受ける	は で でも	二百は 一人で いつでも
合う	は て が って は に	彼は つづけて 引き受けるが いたちってえ 奴は 手に
向う	いたちに	に
逢う	て に	向って 目に
打つ	「へえなるほど」と 相槌を	と を
ぱちつかせる	を	眼を
云う	は て	黒は ぱちつかせて
持つ	が を	亭主が 袋を
這う	て へ	持って 下へ
喰う	が	野郎が
飛び出す	て	喰って
思う	と	飛び出したと
見せる	て	感心して
追っかける	こん畜生って 気で	って で
追い込む	て へ	追っかけて 中へ
思う	と	追い込んだと
やる	ねえ	思いねえ」
なる	に	御めえいざってえ段に
こく	と を	なると 奴め最後っ屁を
見る	いたちを	を
至る	ここに	に
感ずる	て を	至って 臭気を
揚げる	を	前足を
なでる	は て を	彼は 揚げて 頭を
する	も が	吾輩も 感じが
付ける	を	景気を
思う	と	付けてやろうと
睨む	に	君に
捕る	を	鼠を
食う	が で ばかり	捕るのが 名人で 鼠ばかり
とる	を	御機嫌を
いう	は て	彼は 大息して
つまる	えると	と
とる	で を	稼いで 鼠を
ふてる	ほど	人間ほど
いる	って は に	とったって—— 奴は 世の中に
とる	の	人の
取り上げる	を	鼠を
持つ	て へ	取り上げやがって 交番へ
あがる	て	持って行きゃ
捕る	じゃ が	交番じゃ 誰が
分る	か	捕ったか
くれる	から に ずつ	分らねえから たんびに 五銭ずつ
儲ける	なんか で くらい	亭主なんか 御蔭で 壱円五十銭くらい
いやがる	て	儲けて
食わせる	に を	癖に、 碌なものを
ある	も	事も
わかる	ぜ も は	泥棒だぜ」さすが 黒も 理窟は
見える	と	わかると
怒る	て	見えて
逆立てる	で を	容子で 毛を
帰る	は から て へ	吾輩は 気味が悪くなったから 胡魔化して 家へ
とる	は を	吾輩は 鼠を
なる	に	子分に
あるく	て を って	なって 御馳走を 猟って
する	も	事も
食う	を	御馳走を
寝る	も	食うよりも
いる	に	家に
なる	いると 性質に	と に
